loja,data,bazar,mercearia,perecivel,bebidas,horti,perfumaria,limpeza
Loja A,2025-01-05,103024.35,43145.32,57739.11,99208.43,72807.14,60211.74,22944.25
Loja A,2025-01-12,95338.54,117218.21,82028.7,105654.12,71687.57,43168.1,21444.21
Loja A,2025-01-19,85339.83,69310.88,98209.81,89468.24,118795.24,71031.26,62717.48
Loja A,2025-01-26,48673.97,67686.13,107287.15,24243.97,117790.0,119330.72,79782.14
Loja A,2025-02-02,53154.42,42304.9,47649.04,25010.54,67511.1,25732.43,91847.42
Loja A,2025-02-09,57192.95,39936.47,74485.36,117375.93,89513.1,69174.69,97691.43
Loja A,2025-02-16,93747.65,109173.55,40466.89,105887.76,50102.61,114099.89,48106.51
Loja A,2025-02-23,112684.85,116379.07,34549.14,117449.99,28572.3,41856.78,64416.88
Loja A,2025-03-02,119359.74,68856.31,75040.94,89442.49,116829.36,98335.14,42415.4
Loja A,2025-03-09,50299.09,29762.82,84445.24,38074.03,45740.49,108811.37,52675.57
Loja A,2025-03-16,76664.67,59756.6,27403.13,56286.38,60806.82,109570.11,52445.07
Loja A,2025-03-23,57924.11,98289.68,95895.67,99828.53,115377.07,99555.75,60760.82
Loja A,2025-03-30,102150.85,70867.46,47771.4,50291.71,42384.24,34499.3,38449.04
Loja A,2025-04-06,26317.8,108845.09,113100.78,78677.04,104048.96,38357.11,110167.38
Loja A,2025-04-13,70636.16,26716.5,34131.27,50897.65,24355.76,50929.34,25993.04
Loja A,2025-04-20,43602.76,46566.98,119436.9,43554.67,43918.64,88678.9,105935.75
Loja A,2025-04-27,58705.54,107561.8,54014.2,39701.59,52963.88,80935.64,56714.32
Loja A,2025-05-04,87289.38,43693.59,90099.29,54743.84,65586.84,75774.51,88622.5
Loja A,2025-05-11,43871.37,103594.55,92184.27,43409.79,117497.46,86479.7,65242.69
Loja A,2025-05-18,35752.73,73322.1,36477.59,62949.17,60871.25,91993.96,39238.32
Loja A,2025-05-25,102187.14,52613.23,64398.86,97234.1,82539.24,50802.54,58620.29
Loja A,2025-06-01,50578.68,79477.02,53262.45,92569.77,77978.72,34570.66,51026.86
Loja A,2025-06-08,42144.74,59031.32,71598.41,70676.29,95452.37,38917.19,114647.28
Loja A,2025-06-15,54284.51,50024.88,88517.86,100551.66,57847.18,94684.7,108373.6
Loja A,2025-06-22,96680.37,23419.65,102736.89,97448.1,86929.02,96002.24,117942.54
Loja A,2025-06-29,63111.29,26722.32,66089.0,24643.37,49425.04,78687.98,50962.29
Loja A,2025-07-06,88539.52,102198.63,62043.92,110013.8,27983.89,104011.32,102857.31
Loja A,2025-07-13,52199.39,49871.52,50509.5,101139.37,103165.35,52972.25,79259.03
Loja A,2025-07-20,33893.32,66877.87,119879.29,35883.91,114756.26,102425.47,117221.47
Loja A,2025-07-27,37957.88,41351.85,21686.72,92470.18,84409.47,37806.54,99114.5
Loja A,2025-08-03,49919.55,33499.56,62256.27,29096.98,46324.37,57133.34,105186.42
Loja A,2025-08-10,99254.87,64275.43,92457.51,76864.96,54084.19,92587.43,88349.92
Loja A,2025-08-17,81909.44,81795.55,88298.2,58454.55,106907.58,36230.78,108388.55
Loja A,2025-08-24,54228.18,32503.16,80002.74,57598.67,101549.97,63078.55,86856.25
Loja A,2025-08-31,50825.8,40945.24,58804.9,80680.78,85694.67,77820.67,118805.57
Loja A,2025-09-07,89109.02,113151.96,31793.32,26137.29,51099.47,33658.89,72586.85
Loja A,2025-09-14,71898.13,77504.72,94522.79,117132.97,107825.87,31836.72,53851.37
Loja A,2025-09-21,45582.3,37681.74,74472.49,75326.44,42724.48,91189.73,93291.43
Loja A,2025-09-28,22098.0,59575.77,109014.06,72031.86,54762.78,45367.62,44335.45
Loja A,2025-10-05,29976.8,101722.64,28665.74,49229.48,24567.57,98138.66,23928.37
Loja A,2025-10-12,50830.11,77329.74,60956.14,48227.11,47518.91,99779.03,117397.81
Loja A,2025-10-19,54804.11,23914.55,23656.58,95921.34,75236.98,98359.27,89749.7
Loja A,2025-10-26,110750.63,108582.43,98832.74,67518.92,50812.64,70702.68,70207.16
Loja A,2025-11-02,81027.55,38609.76,85561.99,65660.09,82020.48,43960.48,63439.49
Loja A,2025-11-09,41020.12,107530.52,68796.1,42498.14,24120.87,87573.87,41464.47
Loja A,2025-11-16,118958.22,73370.04,48897.7,85767.74,47521.99,102027.43,50823.61
Loja A,2025-11-23,118824.77,80514.48,104441.11,27281.55,54829.94,93748.71,85505.9
Loja A,2025-11-30,39424.31,55620.29,46344.34,81337.02,54456.82,50905.42,40737.8
Loja A,2025-12-07,60902.71,39550.26,116256.96,35450.18,111330.47,62847.31,57786.6
Loja A,2025-12-14,43131.98,83575.63,88552.8,66757.1,25570.69,111851.02,118032.91
Loja A,2025-12-21,63104.34,81366.08,65029.86,52187.97,27731.88,65606.77,101838.46
Loja A,2025-12-28,21703.15,78210.77,108077.21,41754.94,38325.59,97227.66,45508.64
Loja B,2025-01-05,39198.43,57798.93,59250.2,107410.11,81844.35,60596.15,73438.8
Loja B,2025-01-12,115396.52,31321.47,40771.55,116252.87,115732.48,37716.54,34510.88
Loja B,2025-01-19,62108.51,24971.83,85490.35,27749.6,25802.96,68518.69,115778.66
Loja B,2025-01-26,62679.59,55648.12,119795.67,73196.9,57524.14,58586.08,39495.95
Loja B,2025-02-02,71222.31,63885.5,47079.53,36054.01,51123.89,70868.33,25833.33
Loja B,2025-02-09,35374.4,114765.73,74285.54,26344.93,89308.78,26180.29,93887.42
Loja B,2025-02-16,94996.27,85107.9,93220.45,28796.58,92678.06,33668.83,53950.59
Loja B,2025-02-23,114274.53,70287.55,116742.64,28892.25,67755.66,26240.23,83021.03
Loja B,2025-03-02,27870.7,37536.78,45883.03,94874.39,36396.21,104663.21,33190.39
Loja B,2025-03-09,23524.44,59504.54,117944.16,31034.22,30171.84,95116.65,51216.17
Loja B,2025-03-16,91728.16,40001.06,66007.2,46528.99,65152.82,96909.71,96200.99
Loja B,2025-03-23,71577.23,112837.18,46378.41,44031.14,81380.64,82129.7,24654.0
Loja B,2025-03-30,80777.77,57443.62,94744.25,100810.57,75215.38,20170.5,83636.58
Loja B,2025-04-06,94888.13,44898.33,66464.6,116572.66,49811.56,42315.33,41085.48
Loja B,2025-04-13,75880.08,114978.71,80869.01,50332.31,83856.98,82484.23,79692.51
Loja B,2025-04-20,35942.62,83456.68,63016.45,21859.21,73976.45,118926.67,54973.96
Loja B,2025-04-27,116555.92,29620.57,93245.01,31433.0,47357.16,77084.08,79277.97
Loja B,2025-05-04,97521.13,81531.14,79361.47,111235.31,65216.08,42526.58,36178.86
Loja B,2025-05-11,59999.46,91275.28,24254.35,32905.34,30611.35,78525.02,44286.47
Loja B,2025-05-18,36625.94,79277.07,96130.99,53215.49,77820.46,29812.44,113519.1
Loja B,2025-05-25,53689.62,119750.57,117858.78,97882.34,22006.71,74347.49,28683.64
Loja B,2025-06-01,109513.8,98963.63,117234.04,80838.3,72217.28,71897.39,58644.84
Loja B,2025-06-08,66869.01,83541.26,113294.76,79588.43,105711.59,106277.99,71883.27
Loja B,2025-06-15,54746.96,83957.39,64587.73,28144.09,57780.91,119407.21,24851.19
Loja B,2025-06-22,89666.69,104118.87,84872.59,76974.82,90755.44,62934.27,29136.17
Loja B,2025-06-29,116237.18,63230.08,86538.92,73131.04,25467.31,115274.66,99253.72
